ID,A1,A2,A3,B1,B2,B3,D1,D2,D3,e1,e2,e3,e12,e13,e23,eI,eII,eIII
129,0.125,0.375,-0.25,-0.28125,0.15625,0.0625,0.1953125,0.3984375,-0.015625,2.724630831,3.075473305,-1.405555206,-7.090370309,0.581112266,-0.465136764,6.467040167,-0.648164719,-1.424326517
130,0.125,0.625,-0.25,-0.40625,-0.03125,0.0625,0.0078125,0.4140625,0.171875,-0.222074283,7.341919554,-1.891573596,1.715178259,0.819299676,-0.229893267,7.454574642,-0.302218526,-1.924084441
131,0,-0.25,0,-0.3125,-0.25,0.375,-0.140625,-0.15625,-0.46875,1.408379976,3.502172767,-1.177949705,5.765387541,-0.69556208,-1.243203114,5.583194134,-0.485727377,-1.36486372
132,-0.25,-0.25,0.5,-0.75,0,0,-0.109375,-0.015625,0.96875,-0.074026127,7.490649878,-1.967308986,-2.647346118,0.732572124,-0.016901104,7.729133548,-0.297287775,-1.982531007
133,0.125,0.375,0.25,0.34375,0.03125,-0.0625,0.1953125,0.4921875,0.015625,2.141719233,2.607462629,-1.153514654,-5.667912192,-0.494064816,0.295508908,4.849756973,-0.296649967,-1.084745494
134,0.5,0.25,0,-0.125,-0.3125,-0.25,0.265625,0.15625,-0.46875,2.946712666,-0.82461409,-0.375389203,2.005138558,0.141234718,-0.037168879,3.1641197,-0.53741593,-0.918195271
135,-0.125,0.125,-0.25,-0.59375,-0.15625,0.3125,-0.1484375,0.2421875,0.453125,-0.095992405,11.02507806,-2.871931142,1.05970812,1.546422172,-0.117411473,11.09267581,-0.117940661,-2.917580636
136,0.25,-0.25,0,0.3125,0.0625,-0.25,-0.078125,-0.390625,0,-0.123698712,4.297835112,-1.062056481,-1.746664275,-0.647973602,0.148063064,4.080502893,-0.453908249,-0.854993634
137,0.375,0.125,0.25,0.03125,0.09375,-0.8125,-0.0234375,0.1484375,0.109375,-0.055673434,3.79797988,-0.949415493,-0.424331456,-0.698481645,0.06127033,3.455168096,-0.185584385,-0.776609343
138,-0.25,0,0,-0.25,-0.3125,-0.125,-0.0625,0.046875,-0.28125,3.827606924,1.385201895,-1.174938893,-6.241167794,0.853265209,-0.341027917,6.104017442,-0.757790026,-1.406180366
139,0,-0.25,-0.5,-0.0625,-0.125,0,0,-0.109375,-0.96875,5.409045989,-0.460145484,-0.97932887,3.647150807,-0.465522244,-0.109264283,6.30894168,-1.101363546,-1.573328269
140,0.25,-0.25,-0.5,-0.375,0.375,-0.75,0.4375,0.3125,-0.125,5.159905559,-0.379926685,-1.046742489,2.467014201,-0.032886455,1.740085772,5.289131481,-0.666263144,-1.155664526
141,0.5,0.25,0,-0.4375,0,-0.875,0.5,-0.078125,0,3.190930438,-0.574148462,-0.532533533,1.817183656,0.021220148,0.768085231,3.349343592,-0.487583239,-0.878895655
142,-0.125,0.375,0.25,0.09375,0.09375,-0.1875,-0.3359375,0.6328125,-0.265625,2.474102657,3.102273513,-1.337652827,-6.708079163,-0.614597798,0.3370388,5.886767201,-0.349470678,-1.335044398
143,0,-0.25,-0.5,-0.0625,0,-0.75,0.140625,0.03125,-0.125,7.973959,-0.284768021,-1.762528542,1.75778292,-0.044290164,2.46593776,7.376741864,-0.45110954,-1.600873981
144,0.125,0.125,0.25,0.34375,-0.15625,0.1875,0.2421875,0.0546875,0.859375,-0.179820416,4.202441123,-1.04436004,-1.181541666,-0.39438215,0.190194514,4.09936184,-0.360539559,-0.941076266
